base,quote
1INCH,EUR
1INCH,USD
AAVE,ETH
AAVE,EUR
AAVE,GBP
AAVE,USD
AAVE,XBT
ACA,EUR
ACA,USD
ACH,EUR
ACH,USD
ADA,AUD
ADA,ETH
ADA,EUR
ADA,GBP
ADA,USDT
ADA,USD
ADA,XBT
ADX,EUR
ADX,USD
AGLD,EUR
AGLD,USD
AIR,EUR
AIR,USD
AKT,EUR
AKT,USD
ALCX,EUR
ALCX,USD
ALGO,ETH
ALGO,EUR
ALGO,GBP
ALGO,USDT
ALGO,USD
ALGO,XBT
ALICE,EUR
ALICE,USD
ALPHA,EUR
ALPHA,USD
ANKR,EUR
ANKR,USD
ANKR,XBT
ANT,ETH
ANT,EUR
ANT,USD
ANT,XBT
APE,EUR
APE,USDT
APE,USD
API3,EUR
API3,USD
APT,EUR
APT,USD
ARB,EUR
ARB,USD
ARPA,EUR
ARPA,USD
ASTR,EUR
ASTR,USD
ATLAS,EUR
ATLAS,USD
ATOM,ETH
ATOM,EUR
ATOM,GBP
ATOM,USDT
ATOM,USD
ATOM,XBT
AUDIO,EUR
AUDIO,USD
AUD,JPY
AUD,USD
AVAX,EUR
AVAX,USDT
AVAX,USD
AXS,EUR
AXS,USD
BADGER,EUR
BADGER,USD
BAL,EUR
BAL,USD
BAL,XBT
BAND,EUR
BAND,USD
BAT,ETH
BAT,EUR
BAT,JPY
BAT,USD
BAT,XBT
BCH,AUD
BCH,ETH
BCH,EUR
BCH,GBP
BCH,JPY
BCH,USDT
BCH,USD
BCH,XBT
BEAM,EUR
BEAM,USD
BICO,EUR
BICO,USD
BIT,EUR
BIT,USD
BLUR,EUR
BLUR,USD
BLZ,EUR
BLZ,USD
BNC,EUR
BNC,USD
BNT,EUR
BNT,USD
BNT,XBT
BOBA,EUR
BOBA,USD
BOND,EUR
BOND,USD
BONK,EUR
BONK,USD
BRICK,EUR
BRICK,USD
BSX,EUR
BSX,USD
BTC,USD
BTT,EUR
BTT,USD
C98,EUR
C98,USD
CELR,EUR
CELR,USD
CFG,EUR
CFG,USD
CHR,EUR
CHR,USD
CHZ,EUR
CHZ,USD
COMP,EUR
COMP,USD
COMP,XBT
COTI,EUR
COTI,USD
CQT,EUR
CQT,USD
CRV,ETH
CRV,EUR
CRV,USD
CRV,XBT
CSM,EUR
CSM,USD
CTSI,EUR
CTSI,USD
CVC,EUR
CVC,USD
CVX,EUR
CVX,USD
DAI,EUR
DAI,USDT
DAI,USD
DASH,EUR
DASH,USD
DASH,XBT
DENT,EUR
DENT,USD
DOT,ETH
DOT,EUR
DOT,GBP
DOT,JPY
DOT,USDT
DOT,USD
DOT,XBT
DYDX,EUR
DYDX,USD
DYM,EUR
DYM,USD
EGLD,EUR
EGLD,USD
ENJ,EUR
ENJ,GBP
ENJ,JPY
ENJ,USD
ENJ,XBT
ENS,EUR
ENS,USD
EOS,ETH
EOS,EUR
EOS,USDT
EOS,USD
EOS,XBT
ETC,ETH
ETC,EUR
ETC,USD
ETC,XBT
ETH2.S,ETH
ETH,AED
ETH,AUD
ETH,CAD
ETH,CHF
ETH,DAI
ETH,EUR
ETH,GBP
ETH,JPY
ETHPY,USD
ETH,USDC
ETH,USDT
ETH,USD
ETHW,ETH
ETHW,EUR
ETHW,USD
ETH,XBT
EUL,EUR
EUL,USD
EUR,AUD
EUR,CAD
EUR,CHF
EUR,GBP
EUR,JPY
EURT,EUR
EURT,USDT
EURT,USD
EUR,USD
EWT,EUR
EWT,GBP
EWT,USD
EWT,XBT
FARM,EUR
FARM,USD
FET,EUR
FET,USD
FIDA,EUR
FIDA,USD
FIL,ETH
FIL,EUR
FIL,GBP
FIL,USD
FIL,XBT
FIS,EUR
FIS,USD
FLOW,ETH
FLOW,EUR
FLOW,GBP
FLOW,USD
FLOW,XBT
FLR,EUR
FLR,USD
FORTH,EUR
FORTH,USD
FTM,EUR
FTM,USD
FXS,EUR
FXS,USD
GALA,EUR
GALA,USD
GAL,EUR
GAL,USD
GARI,EUR
GARI,USD
GBP,USD
GHST,EUR
GHST,USD
GHST,XBT
GLMR,EUR
GLMR,USD
GMT,EUR
GMT,USD
GMX,EUR
GMX,USD
GNO,EUR
GNO,USD
GNO,XBT
GRT,EUR
GRT,GBP
GRT,USD
GRT,XBT
GST,EUR
GST,USD
GTC,EUR
GTC,USD
HDX,EUR
HDX,USD
HFT,EUR
HFT,USD
HNT,EUR
HNT,USD
ICP,EUR
ICP,USD
ICX,ETH
ICX,EUR
ICX,USD
ICX,XBT
IDEX,EUR
IDEX,USD
IMX,EUR
IMX,USD
INJ,EUR
INJ,USD
INTR,EUR
INTR,USD
JASMY,EUR
JASMY,USD
JTO,EUR
JTO,USD
JUNO,EUR
JUNO,USD
JUP,EUR
JUP,USD
KAR,EUR
KAR,USD
KAVA,ETH
KAVA,EUR
KAVA,USD
KAVA,XBT
KEEP,EUR
KEEP,USD
KEEP,XBT
KEY,EUR
KEY,USD
KILT,EUR
KILT,USD
KIN,EUR
KINT,EUR
KINT,USD
KIN,USD
KNC,ETH
KNC,EUR
KNC,USD
KNC,XBT
KP3R,EUR
KP3R,USD
KSM,DOT
KSM,ETH
KSM,EUR
KSM,GBP
KSM,USD
KSM,XBT
LCX,EUR
LCX,USD
LDO,EUR
LDO,USD
LINK,AUD
LINK,ETH
LINK,EUR
LINK,GBP
LINK,JPY
LINK,USDT
LINK,USD
LINK,XBT
LMWR,EUR
LMWR,USD
LPT,EUR
LPT,GBP
LPT,USD
LPT,XBT
LRC,EUR
LRC,USD
LSK,ETH
LSK,EUR
LSK,USD
LSK,XBT
LTC,AUD
LTC,ETH
LTC,EUR
LTC,GBP
